id,name,latitude,longitude,country,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,glacier_name,distance_to_glacier_m,distance_to_glacier_km,closest_glacier,closest_glacier_lat,closest_glacier_lon
SN47230,ÅKRA UNGDOMSSKOLE,59.2555,5.1963,Norge,RGI2000-v7.0-G-08-03000,08,08-02,G006543E59792N,352269,611,2003-08-09,6.543219,59.7924745,32,0.070242483014029,0,0,0,9,,1,6.543759960204032,59.794236529723555,1412.5426,1502.6229,1463.9044,1461.8536,15.051871,349.57853412628174,1,COPDEM30,420,RGI2000-v7.0-G-08-03000,97178.79256724514,97.17879256724514,RGI2000-v7.0-G-08-03000,59.7924745,6.543219
SN20952,STATFJORD C,61.2847,1.9025,Norge,RGI2000-v7.0-G-08-01833,08,08-02,G005326E61729N,352140,611,2006-09-16,5.326653380361178,61.728995,32,0.02919808048422,0,0,0,9,,1,5.327497046220098,61.729416499696384,767.1568,821.47266,794.871,794.2878,23.765415,37.843884,2,COPDEM30,131,RGI2000-v7.0-G-08-01833,189667.84787649853,189.66784787649854,RGI2000-v7.0-G-08-01833,61.728995,5.326653380361178
SN23670,E16 RYFOSS,61.1375,8.8175,Norge,RGI2000-v7.0-G-08-03402,08,08-03,G008700E61383N,353627,611,2003-08-09,8.699875510223048,61.3822575,32,0.091876472718404,0,0,0,9,,1,8.703433315189674,61.380110801102774,1734.7081,1813.918,1780.2324,1777.8186,11.721949,95.867744,3,COPDEM30,437,RGI2000-v7.0-G-08-03402,28022.254047121547,28.022254047121546,RGI2000-v7.0-G-08-03402,61.3822575,8.699875510223048
SN59450,STADLANDET,62.1467,5.2115,Norge,RGI2000-v7.0-G-08-01844,08,08-02,G005527E61779N,352152,611,2006-09-16,5.529561477615384,61.77943,32,0.103132517942224,0,0,0,9,,1,5.534875705504376,61.77966727817984,932.1259,1085.5103,1013.23303,1013.61664,27.361647,21.510836,1,COPDEM30,687,RGI2000-v7.0-G-08-01844,44320.48533316779,44.32048533316779,RGI2000-v7.0-G-08-01844,61.77943,5.529561477615384
SN55000,LUSTER - ORNES,61.299413,7.313199,Norge,RGI2000-v7.0-G-08-02300,08,08-02,G006957E61367N,352594,611,2006-09-16,6.956472506262894,61.366832,32,0.168216486177854,0,0,0,9,Brattbreen,1,6.963684690903244,61.365534927924664,1321.5046,1535.5625,1448.9939,1445.3964,21.597712,84.97788,3,COPDEM30,696,Brattbreen,20559.779763408715,20.559779763408713,Brattbreen,61.366832,6.956472506262894
SN12590,E6 MJØSBRUA,60.92824,10.67016,Norge,RGI2000-v7.0-G-08-03400,08,08-03,G008718E61395N,353630,611,2003-08-09,8.7160375,61.395489,32,0.106281441393983,0,0,0,9,,1,8.71914099512754,61.39387965778901,1820.2789,1996.8773,1907.2932,1904.9404,26.084538,142.73657,4,COPDEM30,487,RGI2000-v7.0-G-08-03400,117438.97596540218,117.43897596540218,RGI2000-v7.0-G-08-03400,61.395489,8.7160375
SN26640,E134 DARBU,59.7025,9.7773,Norge,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,136228.8785054232,136.2288785054232,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN67650,FV30 REITSTØA,62.96367,10.87183,Norge,RGI2000-v7.0-G-08-03409,08,08-03,G012218E63005N,1012457,812,2002-08-23,12.218209158660844,63.005493,33,0.072925719656763,0,0,0,9,,0,12.21849077634446,63.00715440006898,1256.3105,1450.2937,1327.3748,1336.4174,29.878586,349.9699296951294,1,COPDEM30,342,RGI2000-v7.0-G-08-03409,68417.18035073351,68.41718035073352,RGI2000-v7.0-G-08-03409,63.005493,12.218209158660844
SN18269,OSLO - HAUGENSTUA,59.9535,10.9035,Norge,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,172660.62168616822,172.6606216861682,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN68090,TRONDHEIM - GRANÅSEN,63.3757259,10.3123892,Norge,RGI2000-v7.0-G-08-02797,08,08-02,G009362E62897N,353709,611,2003-08-09,9.36228391927781,62.897223,32,0.041432156192091,0,0,0,9,Dukfonna,1,9.364352114973476,62.89741549189002,1223.6891,1324.2269,1271.2538,1272.5911,28.933697,66.51485,2,COPDEM30,220,Dukfonna,71730.25541095143,71.73025541095143,Dukfonna,62.897223,9.36228391927781
